Code,Name,ListingDate,DelistingDate,Source
019680,대교,2004-02-03,,KOSPI-DESC
020000,한섬,1996-07-03,,KOSPI-DESC
020120,키다리스튜디오,1996-07-03,,KOSPI-DESC
020150,롯데에너지머티리얼즈,2011-03-04,,KOSPI-DESC
020560,아시아나항공,2008-03-28,,KOSPI-DESC
020760,일진디스플,2002-01-09,,KOSPI-DESC
021050,서원,1996-01-30,,KOSPI-DESC
021240,코웨이,2001-08-07,,KOSPI-DESC
021820,세원정공,1996-07-03,,KOSPI-DESC
022100,포스코DX,2024-01-02,,KOSPI-DESC
023000,삼원강재,2011-07-22,,KOSPI-DESC
023150,MH에탄올,1996-12-24,,KOSPI-DESC
023350,한국종합기술,2011-04-28,,KOSPI-DESC
023450,동남합성,1996-12-24,,KOSPI-DESC
023530,롯데쇼핑,2006-02-09,,KOSPI-DESC
023590,다우기술,1997-08-27,,KOSPI-DESC
023800,인지컨트롤스,1997-06-23,,KOSPI-DESC
023810,인팩,2004-09-21,,KOSPI-DESC
023960,에쓰씨엔지니어링,1997-06-23,,KOSPI-DESC
024070,WISCOM,1996-11-22,,KOSPI-DESC
024090,디씨엠,1999-08-18,,KOSPI-DESC
024110,기업은행,2003-12-24,,KOSPI-DESC
024720,콜마홀딩스,2002-04-09,,KOSPI-DESC
024890,대원화성,1997-10-28,,KOSPI-DESC
024900,디와이덕양,1997-06-23,,KOSPI-DESC
025000,KPX케미칼,1994-12-27,,KOSPI-DESC
025530,SJM홀딩스,1997-02-12,,KOSPI-DESC
025540,한국단자,1996-10-16,,KOSPI-DESC
025560,미래산업,1996-11-22,,KOSPI-DESC
025620,차AI헬스케어,1995-07-08,,KOSPI-DESC
025750,한솔홈데코,2003-11-04,,KOSPI-DESC
025820,이구산업,1995-08-18,,KOSPI-DESC
025860,남해화학,1995-11-10,,KOSPI-DESC
025890,한국주강,1997-07-18,,KOSPI-DESC
026890,스틱인베스트먼트,1997-11-25,,KOSPI-DESC
026940,부국철강,2008-10-14,,KOSPI-DESC
026960,동서,2016-07-15,,KOSPI-DESC
027410,BGF,2014-05-19,,KOSPI-DESC
027740,마니커,2002-10-29,,KOSPI-DESC
027970,한국제지,1996-07-03,,KOSPI-DESC
028050,삼성E&A,1996-12-24,,KOSPI-DESC
028100,동아지질,2009-06-12,,KOSPI-DESC
028260,삼성물산,2014-12-18,,KOSPI-DESC
028670,팬오션,2007-09-21,,KOSPI-DESC
029460,케이씨,1997-11-25,,KOSPI-DESC
029530,신도리코,1996-12-24,,KOSPI-DESC
029780,삼성카드,2007-06-27,,KOSPI-DESC
030000,제일기획,1998-03-03,,KOSPI-DESC
030190,NICE평가정보,2023-08-08,,KOSPI-DESC
030200,KT,1998-12-23,,KOSPI-DESC
030210,다올투자증권,1996-11-19,,KOSPI-DESC
030610,교보증권,2002-07-18,,KOSPI-DESC
030720,동원수산,1996-11-22,,KOSPI-DESC
031430,신세계인터내셔날,2011-07-14,,KOSPI-DESC
031440,신세계푸드,2010-04-29,2026-08-11,KRX-DELISTING
031820,아이티센씨티에스,1997-02-12,,KOSPI-DESC
032350,롯데관광개발,2006-06-08,,KOSPI-DESC
032560,황금에스티,2009-10-29,,KOSPI-DESC
032640,LG유플러스,2008-04-21,,KOSPI-DESC
032830,삼성생명,2010-05-12,,KOSPI-DESC
033180,KH 필룩스,2001-12-26,2026-01-15,KRX-DELISTING
033240,자화전자,1999-01-06,,KOSPI-DESC
033250,체시스,1999-08-11,,KOSPI-DESC
